Year	Month	Date	MM/DD/YYYY	Notes Issued	Notes in Circulation	Notes held in Banking Department	Central Government	Market Stabilisation Scheme	State Governments	Scheduled Commercial Banks	Scheduled State Co-operative Banks	Other Banks	Others	Total Non-Govt Deposits	Govt Deposits
2015	12	25	12/25/2015	15486.08	15485.92	0.16	1.87		1.39	4090.38	34.3	215.22	1786.41	6126.31	3.26
2015	12	18	12/18/2015	15482.19	15482.04	0.15	1.01		0.42	3816.79	34.08	209.94	1766.02	5826.83	1.43
2016	1	1	01/01/2016	15331.1	15330.97	0.14	1		0.42	3808.76	34.61	213.03	1402.29	5458.69	1.42
2016	1	8	01/08/2016	15564.63	15564.5	0.13	1.01		0.42	3754.12	34.06	212.96	1392.09	5393.23	1.43
2016	1	15	01/15/2016	15692.46	15692.31	0.14	1.01		0.42	3793.79	34.59	213.59	1386.56	5428.53	1.43
2016	1	22	01/22/2016	15656.38	15656.21	0.18	1.01		0.42	3807.88	33.94	213.76	1729.61	5785.19	1.43
2016	1	29	01/29/2016	15626.79	15626.64	0.15	1.01		0.42	3831.87	34.68	213.96	1656.4	5736.91	1.43
2016	2	5	02/05/2016	15806.28	15806.1	0.18	1.01		0.42	3897.61	35.31	213.92	953.47	5100.31	1.43
2016	2	12	02/12/2016	15996.47	15996.31	0.16	1.01		0.42	3796.94	33.56	214.39	1678.9	5723.79	1.43
2016	2	19	02/19/2016	16024.09	16023.94	0.15	6.49		6.73	3871.06	35.41	218.39	1612.09	5736.95	13.22
2016	2	26	02/26/2016	15992.76	15992.62	0.15	1		0.42	3862.5	33.76	216.92	1505.18	5618.36	1.42
2016	3	4	03/04/2016	16135.44	16135.3	0.13	1.01		0.43	3905.34	34.8	218.59	919.79	5078.52	1.44
2016	3	11	03/11/2016	16331.16	16331.02	0.14	1.01		0.42	3852.7	33.9	216.97	1318.63	5422.2	1.43
2016	3	18	03/18/2016	16379.52	16379.37	0.15	1		0.42	3874.42	35.03	219.16	2164.78	6293.39	1.42
2016	3	25	03/25/2016	16512.6	16512.44	0.16	1.01		1.99	3906.19	37.97	225.15	2309.26	6478.57	3
2016	4	1	04/01/2016	16415.71	16415.58	0.13	1		0.42	4746.08	38.93	240.6	2522.68	7548.29	1.42
2016	4	8	04/08/2016	16721.19	16721.05	0.14	1.01		0.42	3858.63	36.23	226.15	1093.35	5214.36	1.43
2016	4	15	04/15/2016	16955.17	16955.03	0.13	1.01		4.95	3895.2	36.87	229.81	618.92	4780.8	5.96
2016	4	22	04/22/2016	17024.07	17023.94	0.12	1.01		0.42	4048.89	37.6	228.65	450.76	4765.9	1.43
2016	4	29	29/04/2016	16979.92	16979.79	0.13	1.01		0.42	3982.72	35.87	226.26	650.87	4895.72	1.43
2016	5	6	05/06/2016	17157.14	17156.99	0.15	1		0.42	3938.01	34.61	224.91	352.55	4550.08	1.42
2016	5	13	05/13/2016	17276.24	17276.08	0.16	1.01		0.42	3925.78	35.07	224.7	814.12	4999.67	1.43
2016	5	20	05/20/2016	17229.5	17229.35	0.16	1.01		16.11	4030.17	34.64	225.91	621.62	4912.34	17.12
2016	5	27	05/27/2016	17110.94	17110.79	0.14	1		0.42	3839.48	33.73	223.98	897.4	4994.59	1.42
2016	6	3	06/03/2016	17138.7	17138.55	0.14	1.01		0.43	3914.53	34.22	225.06	872.74	5046.55	1.44
2016	6	10	06/10/2016	17262.91	17262.74	0.17	1		0.42	3860.91	34.87	224.6	959.57	5079.95	1.42
2016	6	17	06/17/2016	17228.6	17228.43	0.17	1		0.43	3920.78	34.68	225.55	821.2	5002.21	1.43
2016	6	24	06/24/2016	17105.2	17105.03	0.17	1		0.42	3940.21	34.2	225.88	1044.62	5244.91	1.42
2016	7	1	07/01/2016	17077.2	17077.06	0.14	1.01		0.42	4069.98	36.33	231.17	752.49	5089.97	1.43
2016	7	8	07/08/2016	17309.53	17309.38	0.15	1		0.42	3884.46	34.73	228.26	846.03	4993.48	1.42
2016	7	15	07/15/2016	17288.51	17288.36	0.15	1.01		0.42	3981.7	35.15	228	673.13	4917.98	1.43
2016	7	22	07/22/2016	17135.85	17135.72	0.13	1		0.42	3867.42	34.38	228.92	728.1	4858.82	1.42
2016	7	29	07/29/2016	17011.29	17011.16	0.12	1.01		0.42	4025.35	35.61	230.05	725.05	5016.06	1.43
2016	8	5	08/05/2016	17106.41	17106.29	0.12	1		0.42	4005.84	34.45	232.9	1043.92	5317.11	1.42
2016	8	12	08/12/2016	17231.25	17231.1	0.15	1		0.42	3908.89	34.23	231.91	1236.3	5411.33	1.42
2016	8	19	08/19/2016	17219.62	17219.49	0.13	1		0.42	3887.96	34.44	232.43	1267.26	5422.09	1.42
2016	8	26	08/26/2016	17095.35	17095.22	0.13	1.01		0.42	3968.89	34.5	231.16	1262.23	5496.78	1.43
2016	9	2	09/02/2016	17056.01	17055.88	0.13	1		0.42	4163.85	35.27	233.59	1365.53	5798.24	1.42
2016	9	9	09/09/2016	17331.09	17330.99	0.1	1		0.42	3884.38	34.87	232.64	1529.34	5681.23	1.42
2016	9	16	09/16/2016	17376.08	17375.98	0.1	1.01		0.42	3926.48	35.45	233.12	1606.74	5801.79	1.43
2016	9	23	09/23/2016	17171.48	17171.35	0.12	1.01		0.42	4024.04	34.99	231.14	1765.13	6055.3	1.43
2016	9	30	09/30/2016	17046.18	17046.06	0.13	1		0.42	4124.06	35.4	239.12	1901.63	6300.21	1.42
2016	10	7	10/07/2016	17331.91	17331.78	0.13	1.01		0.42	3946.68	34.72	235.63	1446.04	5663.07	1.43
2016	10	14	10/14/2016	17514.48	17514.36	0.12	1.01		0.42	4024.57	35.5	238.54	1509.54	5808.15	1.43
2016	10	21	10/21/2016	17357.81	17357.7	0.11	1		0.42	4105.06	34.51	240.68	1618.16	5998.41	1.42
2016	10	28	10/28/2016	17540.35	17540.22	0.13	1		0.43	4184.13	36.43	242.66	1606.92	6070.14	1.43
2016	11	4	11/04/2016	17742	17741.87	0.13	1.01		0.42	4094.72	33.89	237	1375.97	5741.58	1.43
2016	11	11	11/11/2016	17644.68	17644.51	0.17	1.01		0.42	4130.3	35.85	244.57	1500.69	5911.41	1.43
2016	11	18	11/18/2016	14037.47	14037.13	0.34	1.01		0.42	4052.12	35.71	245.66	5051.28	9384.77	1.43
2016	11	25	11/25/2016	11642.69	11642.37	0.32	153.89		0.42	4172.89	35.79	246.75	6779.54	11234.97	154.31
2016	12	2	12/02/2016	10307.98	10307.82	0.16	200.08		0.42	8536.36	61.63	573.98	3341.21	12513.18	200.5
2016	12	9	12/09/2016	9576.95	9576.75	0.2	1.01	1639.97	0.42	8536.36	61.63	573.98	3341.21	12513.18	1641.4
2016	12	16	12/16/2016	9349.74	9349.55	0.19	1	4626.05	0.42	4251.7	82.75	293.84	4404.14	9032.43	4627.47
2016	12	23	12/23/2016	9186.09	9185.93	0.15	1.01	5350.37	0.42	4311.56	37.13	273.98	3826.61	8449.28	5351.8
